experiment_id	animal_id	researcher_name	sweep_id	sweep_name	sweep_parameters_text	num_points_per_cycle	num_cycles	sweep_period_ms	stim_used	hardware_version	firmware_version	device_agnd_mv	device_gain	device_vref_positive_mv	software_version	software_file_format
Experiment	Animal	NAVEEN	5	Custom Sweep 3	AGND_V,1.500000;SAMPLE_RATE_S,0.000010;DAC_RANGE_V,2.500000;NUM_DAC_BITS,4096;IDLE_VOLTAGE,0.000000;	1000	200	9.970000e+001	false	2	5	1500	44200	3000	2.0.9	2
#
potential	current_0	current_1	current_2	current_3	current_4	current_5	current_6	current_7	current_8	current_9	current_10	current_11	current_12	current_13	current_14	current_15	current_16	current_17	current_18	current_19	current_20	current_21	current_22	current_23	current_24	current_25	current_26	current_27	current_28	current_29	current_30	current_31	current_32	current_33	current_34	current_35	current_36	current_37	current_38	current_39	current_40	current_41	current_42	current_43	current_44	current_45	current_46	current_47	current_48	current_49	current_50	current_51	current_52	current_53	current_54	current_55	current_56	current_57	current_58	current_59	current_60	current_61	current_62	current_63	current_64	current_65	current_66	current_67	current_68	current_69	current_70	current_71	current_72	current_73	current_74	current_75	current_76	current_77	current_78	current_79	current_80	current_81	current_82	current_83	current_84	current_85	current_86	current_87	current_88	current_89	current_90	current_91	current_92	current_93	current_94	current_95	current_96	current_97	current_98	current_99	current_100	current_101	current_102	current_103	current_104	current_105	current_106	current_107	current_108	current_109	current_110	current_111	current_112	current_113	current_114	current_115	current_116	current_117	current_118	current_119	current_120	current_121	current_122	current_123	current_124	current_125	current_126	current_127	current_128	current_129	current_130	current_131	current_132	current_133	current_134	current_135	current_136	current_137	current_138	current_139	current_140	current_141	current_142	current_143	current_144	current_145	current_146	current_147	current_148	current_149	current_150	current_151	current_152	current_153	current_154	current_155	current_156	current_157	current_158	current_159	current_160	current_161	current_162	current_163	current_164	current_165	current_166	current_167	current_168	current_169	current_170	current_171	current_172	current_173	current_174	current_175	current_176	current_177	current_178	current_179	current_180	current_181	current_182	current_183	current_184	current_185	current_186	current_187	current_188	current_189	current_190	current_191	current_192	current_193	current_194	current_195	current_196	current_197	current_198	current_199
-0.400024	-66.153061	33.011803	-21.619495	12.039598	32.752888	-22.655159	-36.377712	-64.599571	-110.945549	-107.579643	-87.125267	-130.364258	9.191522	35.342049	21.619495	31.458307	-42.850616	-78.063202	-78.839951	-93.598175	-152.372131	-43.886280	0.129458	84.018272	1.941871	20.065998	28.610229	-10.486102	-59.680161	-124.409187	-103.695900	-105.767227	-94.116005	53.984009	5.566696	55.019672	35.859879	7.896941	-65.117401	-83.500443	-83.241524	-63.304989	-69.777893	-62.010406	41.038204	11.521767	25.244320	38.707958	43.627365	-47.252190	-99.812157	-99.294327	-60.715828	-74.697296	-57.091000	41.814949	82.982613	10.227186	3.236451	17.735754	-63.563904	-101.883484	-145.381393	-53.725090	-60.197994	-24.985405	24.985405	22.396242	29.128061	1.424039	-43.627365	-122.337860	-102.919151	-84.277191	-76.768623	-93.080338	3.236451	-18.771418	44.663029	58.644497	59.162331	-40.779285	-52.430511	-66.929810	-93.598175	-92.562508	-37.413376	-43.886280	-0.129458	45.180859	53.207260	19.030334	-64.081734	-105.508316	-146.934891	-119.230865	-83.241524	-36.118797	-25.503237	59.680161	62.010406	35.600964	2.200787	-71.849220	-98.258659	-141.756561	-125.703766	-85.053940	-51.135929	33.788551	-55.019672	5.825613	-5.566696	-13.075263	-83.759361	-71.331390	-144.604645	-103.954819	-81.688034	3.754283	16.700089	53.466175	56.573170	-17.217920	-43.627365	-63.304989	-12.298515	-183.442062	-63.822819	-20.324915	0.388374	44.404110	5.566696	18.771418	-31.199390	-61.492577	-72.108131	-121.561111	-66.670898	-87.384186	-53.984009	52.689426	51.912678	57.091000	34.047466	-13.593096	-100.588905	-84.536110	-109.909889	-127.516182	-77.286453	-76.768623	-9.709353	16.182257	56.055336	22.655159	33.788551	-85.312859	-98.258659	-131.917755	-147.711639	-86.866356	0.388374	23.690823	4.272116	29.386978	-8.932606	-27.315649	-99.294327	-68.224396	-75.215126	-136.837158	-93.080338	23.431908	15.405508	88.937683	15.664424	57.349918	-25.762152	-99.294327	-114.570374	-137.613907	-116.382790	14.110928	-50.618099	12.557431	33.011803	-22.655159	24.467571	-54.242924	-103.954819	-108.615303	-95.669502	-91.009010	-60.456909	26.538900	-5.048864	87.384186	2.459703	40.002537
-0.400024	-110.168800	-122.337860	-125.703766	-138.131744	-42.073868	-42.073868	11.780683	72.884880	30.163727	-3.754283	-89.973343	-238.591187	-132.953415	-123.373520	-92.044678	-73.402718	-42.850616	38.449043	42.332783	22.655159	-91.009010	-61.233658	-82.982613	-118.971947	-121.820030	-112.240128	-53.725090	31.458307	11.003935	-20.842747	32.235054	-23.690823	-169.201675	-67.706558	-136.578247	-62.528240	-87.125267	-11.003935	-50.618099	4.013200	21.360579	1.424039	-4.013200	-121.302193	-116.123871	-110.168800	-100.847824	-49.841351	-4.013200	16.959005	46.216526	4.013200	15.664424	-60.197994	-153.925629	-87.384186	-128.810760	-182.406403	-14.369843	34.824215	20.065998	8.414773	-9.968270	4.531032	-63.304989	-97.740829	-140.979813	-110.686638	-137.613907	-65.117401	19.030334	11.003935	41.297119	28.092398	-33.270718	-92.303589	-85.571770	-153.148880	-149.524048	-111.204468	12.039598	38.190125	65.894150	36.377712	-35.859879	-86.348518	-58.385582	-137.613907	-162.210938	-101.624573	-103.695900	-30.163727	21.360579	16.441174	-22.914076	-1.424039	-20.065998	-123.373520	-160.657440	-106.802895	-85.053940	-73.402718	-81.688034	-18.512501	-23.690823	-6.602361	-12.298515	-56.314251	-173.603241	-116.900620	-212.958496	-120.525444	-85.830688	-41.038204	-17.735754	-28.351313	-24.985405	-2.459703	-69.260056	-98.517578	-132.694504	-126.998352	-121.043282	-33.529636	-5.566696	36.895546	72.367050	-75.732964	-24.208656	-98.776497	-108.097473	-109.909889	-123.891357	-116.382790	-64.081734	-26.797817	4.789948	41.038204	-5.307780	7.638025	-54.760757	-72.884880	-155.479126	-119.230865	-87.902016	-83.759361	-7.638025	26.797817	46.734356	-56.314251	-70.554642	-167.389267	-179.299408	-113.534714	-122.596779	-67.447647	21.878410	18.771418	28.610229	-9.968270	-15.664424	-45.698692	-107.579643	-161.952026	-119.489784	-112.240128	-124.150269	-21.619495	-17.735754	4.272116	22.137327	-60.456909	-146.417053	-100.329987	-117.159538	-53.984009	-66.411980	16.959005	-4.013200	-15.923341	-29.386978	-15.146592	23.949739	-0.647290	-164.541183	-94.374924	-130.623169	-76.509712	37.931210	-24.726488	-33.270718	35.083134	34.306385	-63.563904	-121.820030	-101.365654	-151.336456	-116.123871	-107.579643	-24.208656
-0.400024	91.785759	60.197994	56.832085	-26.279985	19.807081	-30.940474	-74.179466	-16.182257	-41.814949	40.002537	45.957607	9.968270	63.046070	87.125267	7.120193	-74.438377	-52.430511	-56.314251	-31.717222	-16.182257	31.458307	128.034012	117.936287	45.180859	65.376320	-7.896941	-87.643105	-45.698692	-41.297119	-56.055336	57.349918	103.436981	55.537506	118.454117	65.894150	73.402718	-38.707958	-13.334179	-24.985405	-70.295723	6.343444	-28.351313	72.884880	64.340652	26.797817	116.900620	2.718619	-17.217920	-43.886280	-59.680161	-27.833481	-30.681559	34.047466	91.785759	30.422642	112.499046	52.171597	-4.272116	-45.180859	-53.466175	-89.196594	-45.439777	-12.298515	30.940474	78.839951	90.491180	27.833481	112.240128	-43.368446	-79.616699	-57.867748	-84.536110	-14.887676	37.672295	58.385582	39.225788	132.953415	2.459703	26.021069	-58.385582	3.754283	-6.084528	22.655159	-27.315649	42.073868	61.751492	51.394848	111.981216	39.484707	65.894150	-54.242924	-67.188728	-6.084528	-60.197994	-22.137327	62.269321	105.249397	69.777893	55.796421	67.706558	38.966873	-42.850616	-113.793625	-97.481911	-57.867748	-50.100266	21.360579	121.820030	52.689426	94.116005	-21.101662	-64.599571	-83.759361	-115.864960	-67.188728	-67.188728	-30.681559	21.360579	73.661629	24.726488	3.754283	64.599571	-43.627365	-61.492577	-69.777893	-42.332783	-13.334179	-5.825613	33.788551	48.287853	88.419853	109.133141	56.055336	-33.529636	-17.217920	-84.795021	-41.297119	36.377712	11.262851	129.328598	96.705162	54.501839	64.599571	16.700089	-16.441174	-66.929810	-86.089607	-69.518974	-5.825613	48.546768	105.249397	56.314251	31.199390	58.126667	-4.531032	-72.625969	-13.334179	-12.039598	-42.850616	-41.556034	41.814949	103.436981	91.526840	54.760757	43.368446	38.707958	-100.071075	-36.118797	-51.653763	-86.348518	1.424039	23.431908	14.369843	94.116005	91.267929	73.402718	-9.450438	-44.663029	-37.413376	-81.946945	-65.376320	16.441174	152.631042	144.863556	76.768623	116.900620	43.109531	-8.414773	14.110928	-118.713036	-69.777893	-0.388374	33.270718	51.653763	54.242924	95.410583	29.645893	-35.600964	-34.565300	-15.664424
-0.400024	-30.422642	14.369843	80.134537	96.446251	128.551849	116.382790	31.976139	48.028938	-30.940474	-46.734356	12.557431	-70.813553	-29.904810	114.052544	96.446251	77.545372	124.927017	89.714432	62.269321	-80.652367	-53.466175	31.199390	-29.904810	-27.315649	83.241524	82.205864	66.670898	107.320724	42.850616	54.242924	-5.566696	-47.770020	-36.895546	-6.084528	14.110928	82.205864	87.902016	127.775101	156.514786	37.413376	17.735754	-92.044678	-42.073868	-38.707958	-30.940474	100.588905	92.562508	85.830688	132.176666	70.813553	87.902016	-29.128061	-2.718619	-35.600964	-59.162331	-4.789948	86.866356	80.652367	84.018272	92.044678	58.644497	37.413376	-29.128061	12.298515	-37.413376	-45.698692	-14.369843	103.954819	115.088211	105.508316	85.830688	93.339256	-11.521767	-17.217920	-37.672295	-53.466175	-4.789948	-1.682955	65.376320	76.768623	122.596779	105.508316	74.956215	10.486102	-34.047466	-32.235054	-90.750092	-6.861277	-13.852012	117.936287	84.795021	103.178070	183.959885	65.117401	6.602361	-17.735754	7.379109	-76.509712	-7.120193	74.438377	96.446251	94.116005	34.306385	45.957607	7.120193	-63.304989	-71.331390	-42.073868	-23.431908	41.038204	74.697296	60.974743	51.912678	69.260056	70.554642	25.762152	6.084528	-43.109531	-42.073868	-60.974743	-52.171597	43.627365	94.633835	56.573170	124.150269	49.323517	32.235054	11.780683	-66.929810	-47.252190	-33.788551	50.359180	91.526840	68.742226	86.089607	61.233658	62.269321	43.109531	-74.179466	-46.475441	-18.512501	-41.038204	9.968270	95.151665	108.615303	126.221603	108.615303	49.582436	-19.289249	-43.368446	0.906206	-31.199390	-34.824215	64.858482	61.492577	62.528240	73.143799	107.061806	49.064602	-23.690823	-29.645893	-12.557431	-14.110928	-6.861277	89.455513	157.809372	84.536110	130.882095	114.052544	12.557431	10.745018	-5.566696	-95.928413	-27.833481	12.557431	135.801498	111.463387	81.688034	103.954819	67.188728	-5.048864	-26.797817	25.244320	-3.236451	13.334179	38.190125	78.581039	132.435593	110.168800	52.430511	136.060410	-4.789948	6.084528	-15.664424	-51.912678	12.557431	35.083134	64.081734	66.929810	133.730164
-0.400024	113.534714	40.002537	-7.896941	-22.137327	4.789948	0.906206	38.190125	105.249397	69.518974	109.133141	117.159538	46.993275	20.842747	-20.065998	-36.377712	-31.717222	-13.075263	85.830688	84.277191	66.153061	104.472649	101.106735	43.368446	-15.146592	-16.182257	-47.252190	-75.991875	61.492577	37.931210	136.578247	141.756561	82.464783	44.404110	24.467571	-36.895546	-30.940474	-21.360579	-16.441174	56.055336	48.805687	143.310059	80.911285	94.633835	63.304989	26.797817	11.262851	-27.833481	-29.645893	21.360579	68.224396	112.499046	113.016876	169.460587	111.981216	68.742226	12.816347	-14.887676	-66.411980	-9.709353	34.047466	79.616699	118.195198	64.081734	167.907089	104.731567	29.645893	0.129458	-10.486102	12.039598	9.968270	11.521767	94.892754	122.337860	92.562508	89.973343	83.500443	77.027542	-4.272116	-15.923341	-25.762152	-15.664424	2.718619	65.635231	81.946945	80.134537	103.178070	21.360579	28.092398	-75.732964	31.458307	-34.565300	-10.486102	126.998352	46.475441	122.337860	105.508316	83.759361	30.163727	-36.895546	9.709353	-69.260056	14.110928	-46.475441	-2.459703	52.689426	61.751492	100.329987	80.652367	66.670898	25.244320	-4.013200	-101.883484	-74.697296	13.334179	42.332783	101.365654	134.248001	92.821426	91.785759	38.190125	-84.018272	-26.797817	-54.501839	-66.153061	67.447647	43.109531	100.071075	120.525444	121.561111	103.695900	13.593096	32.752888	-34.047466	-35.600964	27.315649	-29.645893	118.713036	110.686638	81.688034	80.134537	132.435593	-18.512501	-29.386978	6.084528	-65.894150	-16.700089	32.235054	88.678764	130.882095	95.151665	93.339256	103.178070	-3.495367	-18.253586	-54.760757	-17.217920	-44.145195	62.528240	140.203064	54.760757	104.990479	74.438377	67.706558	-23.949739	-43.886280	44.663029	-45.180859	-26.797817	118.971947	93.598175	122.337860	73.920547	37.413376	69.518974	-5.566696	-3.236451	-16.700089	-30.940474	22.914076	94.633835	126.739433	167.130341	127.516182	89.973343	78.322121	13.334179	-73.402718	-20.324915	-6.343444	13.852012	137.096085	75.732964	136.060410	89.196594	39.225788	17.217920	1.941871	6.602361	-31.199390	37.672295
-0.400024	78.581039	115.864960	80.911285	110.686638	71.849220	2.200787	-58.385582	-17.735754	-71.849220	-63.822819	-23.431908	91.267929	123.373520	113.534714	115.606041	96.187332	-15.405508	-12.816347	-40.779285	-88.419853	2.200787	60.715828	57.349918	69.518974	131.917755	109.650970	0.906206	63.822819	-25.503237	-7.896941	-29.386978	-29.386978	38.190125	74.956215	83.759361	92.044678	123.891357	16.959005	20.324915	-44.663029	-16.441174	-79.098869	45.698692	58.903412	74.956215	142.792236	101.624573	74.956215	16.700089	-11.521767	37.154461	-41.297119	1.682955	-9.450438	64.340652	113.016876	110.686638	80.134537	85.571770	51.394848	3.495367	-19.548166	-92.044678	13.593096	22.396242	70.554642	121.302193	109.133141	128.551849	54.501839	-32.752888	7.379109	-9.709353	-31.199390	-31.458307	89.973343	112.757965	95.151665	109.909889	70.813553	24.985405	-33.529636	-30.940474	-90.232262	-5.825613	11.262851	39.484707	77.545372	78.322121	111.204468	89.714432	51.135929	21.878410	-65.635231	-28.869146	-31.458307	23.431908	67.706558	59.162331	133.471252	70.554642	81.170197	27.056732	-56.314251	-62.269321	-70.295723	-21.619495	-30.940474	101.624573	118.454117	116.900620	50.359180	63.304989	43.886280	-38.449043	-20.583830	-42.850616	-43.368446	20.324915	102.919151	35.083134	99.035408	46.993275	-20.324915	14.369843	-12.039598	13.075263	-9.709353	-13.852012	59.680161	-4.272116	169.978424	87.902016	87.643105	90.232262	-14.369843	-35.600964	-53.725090	-33.011803	0.906206	125.185936	61.492577	95.928413	83.241524	56.314251	19.030334	6.084528	0.647290	-29.386978	-12.298515	13.334179	84.795021	82.205864	82.464783	132.953415	118.971947	-29.128061	-21.360579	16.441174	-66.153061	-11.262851	-0.906206	105.767227	134.506912	83.241524	126.739433	40.002537	-46.216526	16.700089	-48.028938	11.262851	-58.644497	-31.199390	159.362869	70.554642	123.632439	101.624573	-1.682955	21.360579	-18.771418	-15.923341	-11.780683	-46.993275	47.252190	113.534714	149.265137	56.573170	59.421246	12.816347	-64.599571	-7.379109	-76.509712	-26.797817	-19.030334	37.413376	43.886280	86.607437	74.179466	111.463387	34.565300
-0.400024	-2.200787	-89.973343	-40.779285	47.770020	27.315649	110.686638	56.573170	115.347122	44.145195	-23.690823	-37.154461	-24.985405	-46.216526	-31.976139	51.394848	89.196594	45.180859	74.697296	119.489784	-20.583830	-72.108131	-22.655159	-44.663029	-49.582436	17.735754	44.663029	5.307780	99.812157	122.596779	111.463387	90.491180	-42.332783	-71.590302	-86.348518	-34.824215	0.647290	59.421246	64.599571	103.436981	73.143799	100.847824	14.887676	-2.200787	-49.582436	-96.187332	5.566696	-30.422642	60.197994	38.190125	119.489784	151.077545	101.365654	10.745018	-77.545372	-47.511105	3.495367	5.825613	-30.940474	59.680161	103.436981	114.570374	80.393448	41.038204	41.297119	-66.153061	-58.385582	-21.619495	-60.456909	20.324915	40.779285	21.360579	110.686638	99.812157	34.047466	-50.359180	-41.297119	-22.914076	-20.583830	-24.985405	4.272116	112.240128	42.332783	87.902016	60.456909	94.374924	-48.287853	-55.019672	-14.369843	-0.906206	-8.155857	89.196594	88.419853	95.410583	90.491180	57.608833	16.959005	-65.376320	-58.385582	-29.904810	-29.645893	-4.789948	85.830688	92.821426	95.928413	43.368446	50.877014	47.252190	-34.824215	-35.859879	-44.663029	-9.450438	-42.332783	97.999748	99.553246	92.562508	60.456909	104.472649	-24.467571	-83.500443	-41.038204	-110.427719	-27.833481	16.182257	57.867748	89.455513	101.883484	167.389267	108.615303	-25.503237	-42.332783	-89.714432	-7.379109	-24.726488	55.278587	84.018272	47.511105	98.517578	85.571770	-40.779285	6.343444	-6.084528	-61.492577	-23.431908	-69.001144	0.906206	66.411980	126.739433	120.007614	62.269321	31.199390	-67.965477	-72.108131	-66.153061	-60.456909	63.304989	57.349918	37.931210	91.009010	106.026146	29.386978	-17.994669	-60.715828	-42.073868	-37.154461	-60.974743	47.252190	56.832085	75.732964	87.902016	72.108131	120.784363	2.459703	-149.006210	8.932606	-36.118797	48.028938	38.190125	21.619495	119.748695	93.598175	77.286453	59.421246	-17.994669	-40.520370	-46.475441	-39.484707	0.906206	-1.424039	48.028938	82.723694	112.499046	78.581039	43.368446	11.003935	-73.920547	-87.384186	-43.886280	15.405508	89.714432	81.946945
-0.400024	132.176666	27.315649	39.225788	30.163727	-34.824215	-11.262851	-65.117401	30.940474	27.574566	92.821426	102.660233	142.274399	68.483307	69.001144	26.021069	-27.056732	-72.108131	-45.439777	42.850616	0.129458	57.608833	104.990479	131.917755	58.385582	22.396242	-41.038204	-87.902016	-36.895546	-22.914076	56.314251	51.653763	76.250793	66.153061	34.047466	111.463387	-21.101662	-71.072472	-68.742226	-29.386978	-80.393448	22.137327	40.779285	105.249397	14.887676	47.511105	30.163727	-86.607437	-56.832085	-84.536110	-55.019672	3.236451	39.484707	53.725090	66.153061	78.322121	122.078941	97.481911	-3.236451	-14.369843	-95.151665	-40.261456	-59.680161	36.895546	67.188728	70.295723	70.813553	78.581039	2.977535	-34.824215	-50.100266	-106.285057	-22.396242	66.153061	26.279985	93.080338	114.052544	62.787155	93.857086	-22.137327	-81.688034	-16.700089	-62.269321	-34.824215	-29.904810	102.919151	30.681559	95.410583	109.909889	119.230865	-16.182257	-31.199390	-19.289249	-45.957607	-36.118797	49.064602	96.187332	0.388374	79.875618	65.117401	39.225788	10.745018	-4.531032	-14.887676	12.816347	-24.467571	56.314251	138.390656	75.991875	88.419853	73.920547	30.422642	-115.347122	-0.906206	-70.036804	-44.663029	-58.903412	90.491180	40.002537	88.419853	85.053940	-12.816347	72.884880	-17.735754	-70.036804	-9.968270	-31.458307	43.627365	91.267929	70.554642	89.455513	55.796421	89.455513	-1.165123	-23.690823	-109.909889	-71.590302	-11.003935	80.393448	68.224396	104.731567	87.384186	95.410583	51.653763	-21.101662	-37.154461	-43.627365	-67.188728	-17.735754	71.072472	73.920547	59.421246	57.091000	60.715828	53.984009	59.680161	-50.359180	-74.438377	-4.789948	-29.904810	-6.343444	28.092398	53.466175	78.063202	19.807081	-33.529636	8.673690	-82.982613	-33.011803	-56.314251	-58.126667	66.411980	92.562508	85.053940	127.516182	56.573170	9.968270	-52.430511	-89.714432	-65.894150	-27.315649	-1.941871	77.545372	90.491180	83.241524	86.866356	123.114609	-25.503237	-81.170197	-38.449043	-20.583830	-7.638025	78.839951	134.506912	118.195198	97.223000	72.367050	73.143799	-30.940474	-2.200787	-76.509712
-0.400024	7.638025	-15.146592	43.109531	87.384186	90.491180	106.285057	-10.486102	-8.155857	-39.484707	-23.431908	2.718619	-39.743622	-13.593096	102.142403	125.185936	69.001144	3.236451	45.180859	30.422642	-107.320724	-33.529636	-49.841351	26.538900	73.920547	135.024750	75.991875	105.249397	24.985405	23.690823	-38.707958	-62.528240	-72.625969	-69.518974	4.013200	86.089607	69.001144	58.644497	67.706558	33.788551	-27.056732	-44.921944	-75.732964	-25.762152	-99.812157	-13.075263	46.216526	-4.531032	70.554642	35.859879	37.413376	-21.619495	-68.224396	-88.419853	-10.227186	-41.297119	35.342049	148.747299	57.091000	128.810760	23.172991	34.565300	-36.377712	-57.608833	-106.026146	-106.285057	-57.867748	89.973343	80.911285	73.661629	85.053940	25.503237	39.225788	-45.439777	-54.760757	-46.993275	-16.959005	-10.745018	56.832085	21.360579	39.743622	112.757965	75.732964	29.128061	-117.418449	-98.258659	-52.171597	-15.146592	47.252190	74.956215	50.100266	121.820030	181.629654	97.999748	-30.163727	-80.134537	-34.565300	-90.232262	-54.760757	-59.162331	50.100266	107.061806	128.810760	127.775101	52.689426	-32.493973	-56.055336	-15.405508	-43.368446	-23.431908	47.770020	66.929810	25.503237	65.635231	80.911285	-10.486102	-85.571770	14.628760	-42.332783	-28.610229	-28.869146	-9.450438	92.303589	110.168800	90.750092	56.573170	-13.334179	-52.948341	-55.537506	-45.957607	-60.715828	-6.084528	28.869146	63.304989	79.875618	17.735754	37.672295	-4.789948	-16.441174	-32.493973	-26.021069	-43.109531	14.628760	53.725090	99.294327	61.751492	62.528240	14.887676	1.424039	3.495367	-59.680161	-77.545372	-34.565300	19.030334	90.491180	80.134537	77.804291	63.304989	23.949739	-7.896941	-128.551849	-32.235054	-155.220200	-26.538900	0.906206	28.092398	96.964081	63.046070	88.160934	31.458307	-40.779285	-56.314251	-86.866356	-50.877014	-6.084528	-2.977535	55.019672	2.977535	58.126667	14.369843	21.619495	-82.205864	-43.627365	-89.455513	-31.717222	37.931210	92.562508	37.931210	39.484707	111.204468	23.949739	-12.816347	-29.645893	-20.065998	-42.591698	-49.064602	-0.647290	85.830688	28.610229	128.810760	79.357788
-0.400024	-7.638025	-56.314251	-119.748695	-35.600964	-5.048864	-9.968270	43.368446	74.956215	99.294327	93.857086	113.534714	-28.351313	-69.260056	-36.636627	-16.441174	-59.421246	-38.190125	145.122482	87.384186	70.554642	85.053940	52.430511	0.129458	0.129458	23.431908	-77.545372	-39.484707	-6.084528	112.499046	93.598175	91.267929	67.447647	1.941871	-120.007614	-34.824215	-52.689426	-29.128061	-40.520370	39.743622	42.332783	103.178070	84.018272	8.414773	-7.896941	-75.474045	-39.225788	-116.900620	-27.833481	-17.476837	60.456909	82.723694	31.458307	56.832085	78.839951	-12.816347	-60.974743	17.994669	-53.984009	5.048864	28.351313	55.537506	87.384186	48.028938	73.920547	-25.762152	-62.528240	-63.822819	-21.878410	5.825613	-43.109531	31.458307	107.320724	64.858482	60.456909	67.447647	69.001144	7.379109	-49.841351	-58.644497	-106.285057	12.298515	63.304989	80.393448	29.128061	57.091000	65.894150	62.269321	8.414773	-75.732964	-64.599571	3.754283	63.563904	73.402718	83.759361	66.411980	87.902016	7.896941	-34.047466	-114.829292	-101.106735	-90.232262	-8.673690	36.377712	21.878410	59.939079	37.413376	126.739433	57.091000	15.923341	-64.081734	-34.047466	-73.143799	-38.190125	3.754283	95.151665	19.807081	118.454117	73.920547	76.768623	24.985405	-102.142403	-63.304989	-68.483307	33.011803	69.260056	46.216526	67.965477	75.732964	73.920547	57.091000	-18.253586	-99.035408	-53.725090	-55.537506	-64.081734	58.385582	68.742226	53.466175	50.359180	-1.941871	58.903412	-3.495367	-11.521767	-37.931210	-71.590302	8.414773	-14.369843	80.652367	100.588905	32.493973	3.495367	8.673690	-89.196594	-7.379109	-25.244320	-25.762152	18.253586	80.134537	79.357788	-11.780683	106.802895	-10.486102	-38.707958	-22.137327	-108.356392	-44.663029	-19.030334	46.734356	92.303589	83.759361	66.670898	46.993275	31.199390	-19.548166	-93.080338	-102.142403	-142.792236	-62.010406	56.832085	93.857086	75.474045	74.438377	47.770020	-2.200787	-20.065998	-23.690823	-94.892754	-60.197994	22.655159	23.431908	88.678764	79.357788	91.267929	63.046070	57.091000	-38.966873	-60.715828	-69.518974	-31.199390	45.698692
